8	8	35

1       1       06.40
1       2       05.58
1       7       05.41
2       1       04.53
2       2       09.36
2       3       -01.03
2       4       07.97
2       5       01.29
2       6       09.92
2       8       05.69
3       5       07.42
3       8       04.28
4       3       -06.14
4       6       03.00
5       1       -04.58
5       2       -03.33
5       3       03.83
5       5       -06.95
5       6       -07.15
5       8       -09.96
6       1       -02.56
6       2       -04.83
6       6       -05.58
6       7       09.46
6       8       01.56
7       2       08.18
7       5       07.58
7       8       -09.80
8       1       06.71
8       2       -02.01
8       3       -05.06
8       4       01.13
8       5       -06.31
8       6       03.71
8       7       04.60
